"Ecoregions","Total.RGB","Primary.branches","RGB.proportion.red","Total_Leaf_Number","Phyllaries.length","Leaf.total.N","Specific_Leaf_Area","Leaf.C.N.ratio","Seed.rectangular","Leaf.shape.index.external.I","Seed.maximum.height","Seed.curved.height","Seed.proximal.eccentricity","Ligule.width","Seed.area","Seed.height.mid.width","Seed.perimeter","Flower.FHDD.ratio","Days.to.budding","Disk.diameter","Leaf.shape.index.internal","Phyllaries.diameter","Seed.width.mid.height","Phyllaries.width","Seed.maximum.width","Flower.head.diameter","Seed.ellipsoid","Ligules.number","Stem.colour","RGB.proportion.blue","Stem.diameter.at.flowering","Plant.height.at.flowering","Distance.of.first.branching.from.ground","Days_to_flowering"
"GREAT PLAINS",147.083,19,0.303060177,21,4.138803483,4.71,14.60184915,9.454296681,0.4687,1.2339,4.9384625,5.0714375,0.889325,1.32567024,10.2865875,4.8709625,13.3810375,3.011382636,33,4.976963057,1.4973,9.300058113,2.6088,1.156526208,2.7543125,14.93055811,0.058325,24.66666667,1,0.234588634,32,151.6,23,61
"GREAT PLAINS",155.263,24,0.310486078,25,4.087401908,3.701,11.72527172,12.07252417,0.454825,1.3916,5.1646875,5.293625,0.878675,1.076952029,10.7451,5.1197,13.9253875,2.332446996,39,5.741289138,1.3267,9.903161786,2.6789125,1.087467081,2.8006125,13.33735312,0.0559,38,1,0.220593445,40.3,226.6,15.5,73
"GREAT PLAINS",168.432,29,0.321180061,29,4.479955315,4.094,13.0664324,10.93944325,0.440775,1.3287,4.8180625,4.96195,0.8612875,1.275913221,9.1066875,4.7439875,12.9777625,2.786460519,44,5.339399821,1.5346,9.872835667,2.447425,1.10752218,2.566475,14.89645329,0.060175,33,1,0.230609385,35.1,283,6,80
"GREAT PLAINS",170.86,16,0.314444575,21,3.545910899,5.253,19.06761735,8.017351005,0.470307073537085,1.6717,5.12214096637218,5.24306948910366,0.878789370749972,1.039200295,10.9746142764646,5.06998535361767,13.8893269762469,2.747235651,24,5.576072104,1.0575,8.568427211,2.68665644670613,1.116842201,2.81476103373854,15.32145388,0.0570236428850498,32.66666667,0,0.245563619,41.1,152,24,56
"GREAT PLAINS",158.298,33,0.321943423,35,3.933408458,2.768,11.70170678,15.88760925,0.457425,1.7577,5.644875,5.7661125,0.8703,1.062782098,12.9073125,5.589325,15.2662375,2.605450858,45,4.408862129,1.9481,8.475127068,2.9038,0.943402701,3.0784375,11.48658518,0.0586375,33.33333333,0,0.192560866,41.7,253.3,19,91
"GREAT PLAINS",179.086,19,0.329126788,22,4.153196037,2.688,25.76132206,14.52911026,0.4848625,1.4273,4.8656875,5.001025,0.8825,1.589721843,10.6079375,4.8074875,13.551275,3.405112923,31,5.430417741,0.8889,9.949906103,2.721225,1.371368329,2.8403125,18.49103558,0.0532625,29.66666667,0,0.210652982,37.2,167.9,17,53
"GREAT PLAINS",193.781,14,0.316935097,18,3.884678401,6.741,40.11801695,6.153208046,0.4931875,1.7845,4.819375,4.956325,0.8776125,1.161282084,8.9880875,4.757225,12.7429375,2.690157331,20,5.023731568,2.0421,9.933039615,2.2780625,1.131903215,2.406375,13.47699014,0.0604,25,2,0.214778539,23.8,85,22.5,44
"GREAT PLAINS",169.132,15,0.30927323,20,5.635348242,5.569,20.44660921,7.634332394,0.4601,1.9318,4.49925,4.6198625,0.8848625,1.68292625397129,8.0507125,4.4331,11.9551,2.722709516,24,5.418495167,0.957,12.46969319,2.2463,1.51662173,2.37465,14.73845637,0.0605875,21.33333333,2,0.233202469,40.1,164.2,18.5,52
"GREAT PLAINS",171.853,33,0.310276806,34,3.557014457,5.002,21.7669243033389,8.813497257,0.4624,1.49735111043571,5.19775,5.299925,0.888975,1.247897547,10.1949875,5.1567375,13.5495625,2.678010748,46,5.297655889,1.51675127233907,9.569173805,2.4645875,1.339562693,2.59555,14.55903414,0.0613,31,0,0.27420528,39.6,270,19.5,79
"GREAT PLAINS",166.479,14,0.314213805,18,6.828447838,6.352,18.28953193,6.842608685,0.4584625,1.4653,5.1051375,5.2353375,0.879525,1.608173479,11.057925,5.056175,14.153675,2.851479188,22,5.241450527,1.8889,14.5532739,2.6960875,1.532160749,2.9038125,14.90897332,0.0633875,24.33333333,3,0.255047183,34.4,156,19,51
"GREAT PLAINS",152.783,16,0.303783798,21,5.317919625,5.241,16.03269001,7.876498288,0.466975,1.2606,4.864375,4.9957875,0.872775,1.425697429,10.10675,4.84055,13.17095,2.65346152,24,5.798435744,0.9854,11.53960673,2.6842,1.244299128,2.7807875,15.36633276,0.0523125,32.75,0,0.238036954,40.1,144.6,20,57
"GREAT PLAINS",170.196,20,0.307057745,23,3.450492014,5.715,17.96762134,7.567864726,0.470934683873649,1.5558,5.06997492992249,5.19286260125648,0.876667523360981,1.389524537,10.6893767593868,5.01837149309916,13.7366960063381,2.488199566,26,5.268473015,1.2609,8.78723455,2.64199972267502,0.952716959,2.76802262046912,13.1012961,0.056955667521448,29.33333333,1,0.245763708,33.9,136.3,23,53
"GREAT PLAINS",167.077,19,0.307983744,20,3.126164144,6.582,16.43191052,6.745184332,0.47030867652135,1.2834,5.11233158600457,5.23326495059661,0.877996453051555,1.228844112,10.9194359889748,5.05994493245305,13.8600803280451,2.336959398,22,6.376751095,0.9891,8.738905443,2.6777718306858,1.247536676,2.80693606451537,14.9022084,0.05707057116462,32,0,0.248071249,35,122.3,9,58
"NORTH AMERICAN DESERTS",178.157,17,0.324191584,21,3.090791079,5.232,23.23301875,7.814474363,0.448,1.723,4.787183333,4.928916667,0.88455,1.173792262,10.79356667,4.707816667,13.4878,3.298802375,21,4.3863334,1.3,7.357405985,2.908683333,0.787862514,3.058583333,14.39982915,0.05505,19.66666667,2,0.187250571,28.1,79.6,20,54
"NORTH AMERICAN DESERTS",166.973,15,0.312278033,22,3.309156445,5.622,14.97338859,7.406722941,0.470149134781118,1.3714,5.07552927704825,5.19799226447406,0.87651654531195,1.469830388,10.864380569104,5.02382488918288,13.8012648509313,2.62767766,24,5.107772428,1.5571,8.099811393,2.68502035284637,1.049796479,2.81182534384146,13.42458693,0.0565494890077406,26.33333333,0,0.229833566,30.4,142.7,18,61
