"","latitude","longitude","sitename","individual_id","population_id","genotype_id","Predicted","Actual","Outcome"
"89",36.80874,-98.22242,"Oklahoma","ANN1207","ANN_41","ANN1207","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"90",32.92224,-97.36547,"Texas","ANN1214","ANN_42","ANN1214","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"91",29.05186,-99.01808,"Texas","ANN1231","ANN_44","ANN1231","NORTH AMERICAN DESERTS","GREAT PLAINS","Incorrectly_Predicted"
"92",29.05186,-99.01808,"Texas","ANN1232","ANN_44","ANN1232","NORTH AMERICAN DESERTS","GREAT PLAINS","Incorrectly_Predicted"
"93",29.05186,-99.01808,"Texas","ANN1233","ANN_44","ANN1233","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"94",29.05186,-99.01808,"Texas","ANN1234","ANN_44","ANN1234","NORTH AMERICAN DESERTS","GREAT PLAINS","Incorrectly_Predicted"
"95",28.63085,-100.1189,"Texas","ANN1248","ANN_45","ANN1248","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"96",32.73158,-111.53769,"Arizona","ANN1261","ANN_47","ANN1261","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"97",32.73158,-111.53769,"Arizona","ANN1264","ANN_47","ANN1264","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"98",32.73158,-111.53769,"Arizona","ANN1265","ANN_47","ANN1265","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"99",32.73158,-111.53769,"Arizona","ANN1268","ANN_47","ANN1268","GREAT PLAINS","NORTH AMERICAN DESERTS","Incorrectly_Predicted"
"100",32.17943,-108.38541,"New Mexico","ANN1295","ANN_50","ANN1295","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"101",32.17943,-108.38541,"New Mexico","ANN1296","ANN_50","ANN1296","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"102",32.17943,-108.38541,"New Mexico","ANN1300","ANN_50","ANN1300","GREAT PLAINS","NORTH AMERICAN DESERTS","Incorrectly_Predicted"
"103",32.12876,-106.67373,"New Mexico","ANN1301","ANN_51","ANN1301","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"104",32.12876,-106.67373,"New Mexico","ANN1302","ANN_51","ANN1302","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"105",31.13312,-104.02012,"Texas","ANN1314","ANN_52","ANN1314","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"106",31.03955,-103.13683,"Texas","ANN1321","ANN_53","ANN1321","GREAT PLAINS","NORTH AMERICAN DESERTS","Incorrectly_Predicted"
"107",31.03955,-103.13683,"Texas","ANN1324","ANN_53","ANN1324","GREAT PLAINS","NORTH AMERICAN DESERTS","Incorrectly_Predicted"
"108",31.03955,-103.13683,"Texas","ANN1325","ANN_53","ANN1325","GREAT PLAINS","NORTH AMERICAN DESERTS","Incorrectly_Predicted"
"109",31.03955,-103.13683,"Texas","ANN1330","ANN_53","ANN1330","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"110",29.11355,-97.39837,"Texas","ANN1332","ANN_54","ANN1332","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"111",29.11355,-97.39837,"Texas","ANN1333","ANN_54","ANN1333","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"112",29.11355,-97.39837,"Texas","ANN1336","ANN_54","ANN1336","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"113",29.11355,-97.39837,"Texas","ANN1337","ANN_54","ANN1337","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"114",29.11355,-97.39837,"Texas","ANN1340","ANN_54","ANN1340","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"115",28.66061,-96.58348,"Texas","ANN1341","ANN_55","ANN1341","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"116",28.66061,-96.58348,"Texas","ANN1346","ANN_55","ANN1346","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
